,meaning,example
impervious,not admitting of passage or capable of being affected,"Behind it trailed a growing bunch of revelers, dancing along with the beat, drinking and throwing their empty bottles to shatter against the huge, impervious machine."
implacable,incapable of being appeased or pacified,She set about on a disguised but implacable vigilance.
implicit,suggested though not directly expressed,"Most striking, perhaps, is the overwhelming evidence that implicit bias measures are disassociated from explicit bias measures."
implode,burst inward,"And now I’m struck with a crippling wave of panic that starts in my chest and pulls like a lethal gravity, collapsing my lungs until I’ve imploded so deep within myself, I can’t breathe."
inadvertently,without knowledge or intention,"Remembering the delectable meal the fisher had inadvertently provided for him, the young dog determined to repeat it."
inchoate,only partly in existence; imperfectly formed,"To Lawrence, however, the assignment seemed both inchoate and potentially overwhelming."
incongruity,the quality of disagreeing,"Buffalo Bill’s Wild West may indeed have been an “incongruity,” as the directors had declared in rejecting his request for a concession within Jackson Park, but the citizens of Chicago had fallen in love."
inconsequential,lacking worth or importance,"Wondering whether I have or want one, trying to decide if the end of existence is a tragedy, a comedy, or as inconsequential as that chem lab I forgot to turn in last week."
incorporate,make into a whole or make part of a whole,"Regardless of what material you are trying to incorporate, thoroughly understanding the aesthetics and values will be highly beneficial to preserving the integrity and authenticity of both the music and culture."
indeterminate,not fixed or known in advance,"If faced with the Solomonic task of sacrificing the life of one newborn for an indeterminate number of fetuses, what number might you choose?"
indigence,a state of extreme poverty or destitution,"It is a fine thing, reader, to be lifted in a moment from indigence to wealth—a very fine thing; but not a matter one can comprehend, or consequently enjoy, all at once."
indolent,disinclined to work or exertion,She worried that she was becoming indolent and losing her English.
inert,unable to move or resist motion,"Even then I kept seeing the soldier’s body tumbling toward the water, splashing down hard, how inert and heavy it was, how completely dead."
ingenuous,lacking in sophistication or worldliness,"Even in the happiest times he’d made fun of my California accent, my secondhand overcoat and my room barren of tasteful bibelots, but in such an ingenuous way I couldn’t possibly do anything but laugh."
inherent,existing as an essential constituent or characteristic,"In my humble opinion, the prescribed story structure, the limited length, and the other restrictions inherent to film cause the truth to be treated as a handicap."
innocuous,not injurious to physical or mental health,"It was innocuous: an infusion of chamomile, nothing more."
insensible,barely able to be perceived,She was near insensible by the time we reached it.
insinuate,suggest in an indirect or covert way; give to understand,"And he shot into the crook of one of Glerk's arms and insinuated himself into the fleshy folds of his body, and was, once again, the happiest dragon in the world."
insipid,lacking interest or significance or impact,"It was cold outside, and dark, and a leaky, insipid mist lay swollen in the air and trickled down the large, unpolished stone blocks of the houses and the pedestals of monuments."
insularity,lack of openness to new ideas; narrow-mindedness,I exaggerate only slightly: British theatre was marked by its cosy insularity and its fog-isolates-Europe attitude towards the continental mainland.
intractable,difficult to manage or mold,"Many mathematical problems are so intractable, and experiments involving them so expensive, that this kind of probabilistic simulation is the only alternative to giving up on them."
intransigence,stubborn refusal to compromise or change,"Fed up with the Housing Authority’s intransigence, leading 150 protesters, Ann took over a meeting between the city council and representatives of the DHA."
inundate,"fill or cover completely, usually with water",Residents of Cedar Rapids are waiting anxiously as the quickly rising river threatens to ________ their city with devastating floodwaters.
inured,made tough by habitual exposure,"She said she was long ago inured to shocks, and insisted on having P. D. rescue me."
invective,abusive language used to express blame or censure,Churchill combined their example with his father Randolph’s gift for invective.
irascible,quickly aroused to anger,As Reed describes it: The case before the jury involved an irascible gentleman who lived next door to a filling station.
irresolute,uncertain how to act or proceed,"My courage, watery and irresolute to begin with, ebbed away."
itinerary,an established line of travel or access,"On the recommendation of a friend, I called Abercrombie & Kent, and soon found myself ogling brochures and ________ of Nile cruises on various sizes of boats."
laconic,brief and to the point,"She turns red and grins, and when she sits down, it’s Bobby’s turn—he moves like John Travolta in Pulp Fiction, shaking his hips with a laconic tilt, turning his feet more than his body."
lassitude,a feeling of lack of interest or energy,"A cold lassitude came over him and he passed into a dreaming, inert stupor, full of cramp and pain."
latent,potentially existing but not presently evident or realized,"What would a society of eunuchs achieve?—But of course they are not eunuchs, in somer, but rather more comparable to preadolescents: not castrate, but latent."
laud,"praise, glorify, or honor","I praised the response as “magnificent” to the press, lauding our people for “defying unprecedented intimidation by the state.”"
lethargic,deficient in alertness or activity,"I found the sick-room unwatched, as I had expected: no nurse was there; the patient lay still, and seemingly lethargic; her livid face sunk in the pillows: the fire was dying in the grate."
levee,an embankment built to prevent a river from overflowing,Maybe if I ever made it back to Stockton me and Diego could try and start it going at the levee.
levity,a manner lacking seriousness,"These elements were acted on by two forces: gravity, the tendency for earth and water to sink, and levity, the tendency for air and fire to rise."
log,a segment of the trunk of a tree when stripped of branches,"The remaining one-third—49 million acres, or an area roughly twice the size of Ohio—is available for logging."
loquacious,full of trivial conversation,Even the loquacious Mrs. Hubbard was unnaturally quiet.
lucid,transparently clear; easily understandable,"Propped on the table I found a long, businesslike letter from the summer school and a thin blue letter on leftover Yale stationery, addressed to me in Buddy Willard's lucid hand."
luminous,softly bright or radiant,"Grey, feathery ashes scurried hither and thither at his breath but no spark shone among them The twins watched anxiously and Piggy sat expressionless behind the luminous wall of his myopia."
magnanimity,nobility and generosity of spirit,Rand held up her hands in a gesture of mock magnanimity.
malingerer,someone shirking duty by feigning illness or incapacity,"If the woman refused, they would report to the office that the woman was a malingerer."
malleable,capable of being shaped or bent,"Why can’t the Americans see the Communists in their own backyards, in their universities, bending the malleable minds of the young?"
maverick,someone who exhibits independence in thought and action,"He shuffled to the back of the bus, grateful that it wasn’t one of the crowded school buses but a maverick bus that appeared at odd hours."
mendacious,given to lying,"“Especially,” said Charles, “when the batty bandleader is a disingenuous and mendacious charlatan.”"
metamorphosis,striking change in appearance or character or circumstances,"Other scientists are working on the so-called “juvenile hormone,” a powerful substance which prevents metamorphosis of the larval insect until the proper stage of growth has been reached."
meticulous,marked by precise accordance with details,He had me put in the Mabel Mercer tape and then enlightened me about her meticulous phrasing.
misanthrope,someone who dislikes people in general,"Old Abraham, who was not old at all but who had comported himself in the manner of an elderly misanthrope since he first learned to sit up."
mitigate,lessen or to try to lessen the seriousness or extent of,"Because for a private citizen to become a prince presupposes virtue or Fortune, it appears that either the one or the other of these two things should partially mitigate many of the problems."
mollify,cause to be more favorably inclined,"Piliso was not mollified by this, and we sensed that something was wrong."
morose,showing a brooding ill humor,"Sonia is morose, running a slight fever from her typhoid shot, still expecting, when she enters the living room in the morning, to see a tree trimmed with lights."
mundane,found in the ordinary course of events,"She imagined him as a child surrounded by too many brightly colored toys, always being encouraged to carry out “projects,” always being told that his mundane ideas were wonderful."
negate,make ineffective by counterbalancing the effect of,"Instead, Eliza negated everything I said and suggested I might actually be the problem on the team!"
neophyte,a participant with no experience with an activity,Ben noticed that other Marines were beginning to watch their table as the word of the neophyte drinker spread around the bar.
obdurate,stubbornly persistent in wrongdoing,"So the boy went to the front door, rang the bell, hoping some other less obdurate servant might let him in."
obsequious,attempting to win favor from influential people by flattery,No car has ever had such obsequious treatment as did Rocinante as we moved slowly on.
obviate,do away with,"“Some would contend that this confession would obviate the need for a lengthy trial,” she said in a cold, heartless voice that made Finn miss the real Ms. Morales."
occlude,block passage through,"But deep in the fields the brownish stalks rise from the earth to more than twice her height, occluding her vision."
officious,intrusive in a meddling or offensive manner,"A voice is talking to her now, calm and officious."
onerous,burdensome or difficult to endure,"The insubstantial frost feathers ensured that those last twenty feet remained hard, scary, onerous."
oscillate,move or swing from side to side regularly,"Doctors came running up from every direction with needles, lights, tubes, rubber mallets and oscillating metal tines."
ostentatious,intended to attract notice and impress others,"She continued forward, sidestepping open trunks that held plumed garments from every period, curled wigs, and ostentatious hats."
paragon,a perfect embodiment of a concept,"Founded in 1948, it was, in many ways, meant to be the paragon of suburban life, with mass-produced houses and cookie-cutter yards."
partisan,a fervent and even militant proponent of something,"“They worry lest we join the partisans . . “As far as I’m concerned, this whole business of deportation is nothing but a big farce."
pathological,relating to the study of diseases,I was afraid that maybe he would say we couldn’t keep a dog who went crazy with pathological fear every time there was a crack of thunder.
paucity,an insufficient quantity or number,"Like Waterman and McCunn, he displayed a staggering paucity of common sense."
pedantic,marked by a narrow focus on or display of learning,"The voice that had spoken it was a Scholar’s, precise and pedantic and lazily arrogant, very much a Jordan College voice."
penchant,a strong liking or preference,"So far, the only blemish on Parker’s record while serving the president is a penchant for tardiness, as Crook knows all too well."
penury,a state of extreme poverty or destitution,He was poor and lived in utter penury.
perennial,lasting an indefinitely long time,He saw no reason to change his perennial opinion of her as a sour and fidgety frustration.
perfidious,tending to betray,He called Nino a ________ traitor and a foolish viper.
perfunctory,hasty and without attention to detail; not thorough,"But it came out sounding broad, perfunctory, like the token consolation of a kind stranger."
permeable,allowing fluids or gases to pass or diffuse through,"He was lonely still, but it was only a mist, a weather front that passed through him when he was alone, a feeling of having turned too permeable."
pervasive,spreading or spread throughout,"The market had priced such companies as if they might go out of business because plenty of information suggested that was a possibility, and because fear was then so ________ that optimism felt almost like a form of irrationality."
phlegmatic,showing little emotion,"Through the years, old Rena remained phlegmatic, paying no apparent attention to the bedlam which had intruded into her twilight years."
piety,righteousness by virtue of being religiously devout,"During this time, owing to his newfound piety, Bobby used no profanity."
placate,cause to be more favorably inclined,Not when invaders were threatening the Empire and the populous had to be placated.
plasticity,the property of being physically malleable,Explanations of his Effect that focus on changes to the sensory environment are consistent with the growing number of studies that demonstrate the “plasticity” of the human brain.
platitude,a trite or obvious remark,"Pearl waited for a parental platitude to follow: Life isn’t fair, or Fair doesn’t always mean right."
plethora,extreme excess,"Now, instead of the plates made of bread, there were covered dishes, scented finger bowls, sumptuous table cloths, a plethora of napkins."
plummet,drop sharply,"Her face was lit with madness as she shrieked, plummeting toward Mark, who couldn’t believe what he was seeing."
porous,full of holes,Now the magic seemed to have thinned into a tiny trickle dripping through a narrow channel in her porous bones.
pragmatic,concerned with practical matters,"While it makes perfect sense to me, this pragmatic view of religion escapes the Reverend utterly."
preamble,"a preliminary introduction, as to a statute or constitution","He said nothing, and he did not smile, but watched her, wondering to what task this preamble led."
precarious,not secure; beset with difficulties,"It was a precarious existence, to say the least."
precipitate,bring about abruptly,"“This is enough for me,” he wrote Rush, adding that he knew Adams to be “always an honest man, often a great one, but sometimes incorrect and precipitate in his judgments.”"
precursor,something indicating the approach of something or someone,That could have been the precursor to an independent African discovery of iron metallurgy.
presumptuous,"going beyond what is appropriate, permitted, or courteous","This struck Kamen as presumptuous, for he was the senior member of the team and the one whose work had been the more important."
prevaricate,be deliberately ambiguous or unclear,"“Delay, obscure, prevaricate. Oh, no one does that half so well as our brave uncle.”"
pristine,immaculately clean and unused,"At last year’s sales, Mrs. Tonnessen said, the clothes’ ________ condition and vibrant fabrics were impressive; the family had kept them well protected in storage."
probity,complete and confirmed integrity,In both instances his posture of public probity—slavery should be ended and political parties were evil agents that corrupted republican values—was at odds with his personal behavior and political interest.
problematic,making great mental demands,"It requires an ability to move back and forth between the concrete and the abstract, the immediate example and a scientific theory, and this movement is conceptually and historically problematic."
prodigal,recklessly wasteful,"Glass was expensive, and large sheets of it were prodigal of heat in these fierce latitudes; so to see them here was evidence of wealth and influence far greater than Iofur Raknison’s vulgar palace."
profound,situated at or extending to great depth,"It crystallized in the mid- to late 1990s and, when it did, it had as profound an impact on the world as the first two flatteners."
prohibitive,"tending to discourage, especially of prices","Meanwhile, Lovelace found the costs of the testing prohibitive, particularly without government funding."
proliferate,grow rapidly,"Most of the work done at Langley was of the “compressed-air” persuasion, research conducted in one of the proliferating number of wind tunnels."
propensity,a natural inclination,"Limbs, torsos, brains, eyes, faces—even temperaments or propensities that were inherited—had to be created anew each time an embryo unfurled into a human fetus."
propitiate,make peace with,Especially I felt this when I made any attempt to propitiate him.
propriety,correct behavior,"Still concerned about propriety, I insisted we keep our blooming relationship out of sight of our colleagues, though it hardly worked."
proscribe,command against,Soon he was proscribing parts of salutations and signatures and leaving the text untouched.
pungent,strong and sharp to the sense of taste or smell,"I hugged him tight, his fur smelling like a mix of dogs and vet chemicals, pungent and sterile."
qualified,meeting the proper standards and requirements for a task,"With senior nurses seconded to casualty-receiving hospitals further out in the hospitals sector, and more cases coming in, the qualified nurses gave orders freely, and the probationers of Briony’s set were given new responsibilities."
quibble,evade the truth of a point by raising irrelevant objections,"After a spell of indecisive quibbling, Perry said, “I’m for it.”"
quiescent,being quiet or still or inactive,"And up from the quiescent, waiting land a faint mist rose, silver as moonlight, and clung about the tree trunks."
rarefied,of high moral or intellectual value,"At a modest high school in the Tidewater city of Portsmouth, not far from John Casteen’s boyhood home, a guidance-office wall filled with college pennants does not include one from rarefied Virginia."
recalcitrant,stubbornly resistant to authority or control,"Any parent who has ever said to a recalcitrant child, “Okay, I’m going to count to ten and this time I’m really going to punish you,” knows the difference between deterrent and empty threat."
recant,formally reject or disavow a formerly held belief,Milo was sure they would be charitable if he went to them to apologize and recant and promised to fly eighty missions.
recluse,one who lives in solitude,"His failures had made him a recluse, but people remembered the vulnerable boy he had once been."
recondite,difficult to understand,"By various recondite processes, he converted the urine first into a noxious paste and then into a translucent warty substance."
refractory,stubbornly resistant to authority or control,Then in the Clarkston area of Washington the insects became refractory — they were harder to kill than in the orchards of the Wenatchee and Yakima valleys and elsewhere.
refute,"overthrow by argument, evidence, or proof","Parties choose to use scientific evidence to support their positions when it suits them, and ________ the validity of the science when it doesn't."
relegate,assign to a lower position,"Once labeled a felon, the badge of inferiority remains with you for the rest of your life, relegating you to a permanent second-class status."
reproach,express criticism towards,There was her husband’s reproach looking at her from the external things around her which he had provided for her external existence.
reprobate,a person without moral scruples,"“Those old reprobates, they live in my building, you know...”"
repudiate,"refuse to acknowledge, ratify, or recognize as valid",And now you have repudiated the character of Lopsang with your “tattle tale” accounts of him.
rescind,cancel officially,A number of the newer regulations regarding study and free time were immediately rescinded.
resolution,a decision to do something or to behave in a certain manner,"“If those captains found a way to leave their monsters behind, they deserve whatever peace they find. They deserve resolution. And the beasts...well, they deserve each other.”"
resolve,find a solution or answer,And lately some of his creditors had begun exhibiting an extraordinary hardening of resolve.
reticent,reluctant to draw attention to yourself,"Thus, the girls were no longer always together, and Nancy deeply felt the daytime absence of her friend, the one person with whom she need be neither brave nor reticent."
reverent,feeling or showing profound respect or veneration,"They were books that discussed slavery and plantations and the time before emancipation in a reverent and honorable way, like it had all been a good thing."
sage,a mentor in spiritual and philosophical topics,"He had been full of arrogance; he had always been the cleverest, the most eager—always a step ahead of the others, always the learned and intellectual one, always the priest or the ________."
salubrious,promoting health,"A fine mist of pulverized concrete seems to cover everything, and the once salubrious climate is overwhelmed by smog."
sanction,official permission or approval,"The Eminent Persons Group had come with many questions involving the issues of violence, negotiations, and international sanctions."
satiate,fill to satisfaction,"As soon as this happened, they cheerfully abandoned the gruelling, dangerous, and often spartan life of hunter-gatherers, settling down to enjoy the pleasant, satiated life of farmers."
saturate,infuse or fill completely,"When freshly cut fruits or vegetables are spread out they immediately begin to evaporate moisture into the air, and if in a closed box will very soon ________ the air with moisture."
savor,"a particular taste or smell, especially an appealing one","After a brisk tour of Salamanca’s historic center and its lovely Plaza Mayor, we defied the custom of ________ one’s meals and ordered a few appetizers to go."
secrete,generate and separate from cells or bodily fluids,“Take with water and within seconds your fingers will secrete a transdermal poison. Anyone you touch for the next hour will be instantly and painlessly gleaned.”
shard,a broken piece of a brittle artifact,"When I open the box, I see broken shards of my Christmas ornament, along with burned scraps of what must be my father’s painting."
skeptic,someone who habitually doubts accepted beliefs,I’m not sure it is going to convince ________ that science and faith are so easily compatible.
soporific,inducing sleep,"He was a man of high professional standards, a careful and deliberate, exacting judge who held himself to the letter of the law, however soporifically."
specious,plausible but false,"As such, it was of course vulnerable to the same variety of glibly undaunted and usually specious evaluations that any legitimate art object is."
spectrum,"a broad range of related objects, values, or qualities","I walked over, gave him a pound, and felt that heat of the spectrum, the warmth of The Mecca."
sporadic,recurring in scattered or unpredictable instances,The distant boom of artillery switched from its sporadic night rhythm to the purposeful daylight pounding.
stigma,a symbol of disgrace or infamy,"I argue that the shame and stigma of the “prison label” are, in many respects, more damaging to the African American community than the shame and stigma associated with Jim Crow."
stint,supply sparingly and with restricted quantities,"After stints in North Carolina, New York, Florida, Virginia, California, and a handful of other states, he returned home to southern Maryland and started work at a job that would change his life."
stipulate,make an express demand or provision in an agreement,"Although this attitude wasn’t uncommon at the time, NIH guidelines stipulated that all human subject research funded by NIH—as McKusick’s was —required both informed consent and approval from a Hopkins review board."
stolid,having or revealing little emotion or sensibility,"After its uncertain launch, its stolid reliability had become almost boring; the Crocker Lab seemed more like an industrial factory every day, so why not push past the boundaries of the predictable once again?"
strut,"walk in a proud, confident way",In the distance I hear Mrs. Walton’s signature click-clack strut as she makes her way toward the counter.
subpoena,a writ issued to compel the attendance of a witness,The phone company had to make sure the subpoena was in order.
subside,wear off or die down,"He looked at me with consternation as my coughing subsided to spluttering and then, finally, to painful wrenching hiccups."
substantiate,establish or strengthen as with new evidence or facts,"White hadn’t been able to substantiate Kenny’s allegations, but he wasn’t sure what to make of Comstock, either."
supersede,take the place or move into the position of,"That is, they still used stone tools similar to those superseded in Europe by metal tools thousands of years ago, and they dwelt in villages not organized under any centralized political authority."
supposition,the cognitive process of conjecturing,She knew well there had to be such forms of bureaucratic supposition.
tacit,implied by or inferred from actions or statements,"Before I had been made to go to church, I had given God’s existence a sort of tacit assent, but after having seen His creatures serve Him at first hand, I had had my doubts."
tangential,of superficial relevance if any,"Something visceral and less tangential than, say, statistics, laws, police enforcement, or television commercials: The issue had to be made personal."
tenuous,lacking substance or significance,"Maybeth smiled, a tenuous little smile, and turned back to the window."
tirade,a speech of violent denunciation,"Shoving a plastic cup under my nose, the mother launched her tirade."
torpor,a state of motor and mental inactivity,He was in one of his reptilian torpors again.
tortuous,marked by repeated turns and bends,"Laila remembered Tariq’s hands, soft but strong, the tortuous, full veins on the backs of them, which she had always found so appealingly masculine."
tractable,easily managed,"""Joff will be no more tractable for you than for me."""
transgression,the violation of a law or a duty or moral principle,"By this stage, however, Owen’s transgressions were beginning to catch up with him."
truculence,stubborn and defiant aggressiveness,"Instead of returning the salute, Bull stopped the car completely and stared with visible truculence at the guard who held his salute as rigidly as some umpires who call strikes on batters with exaggerated formality."
vacillate,be undecided about something,My love for him vacillated from one entry to another.
venerate,regard with feelings of respect and reverence,"This was always followed by Collins’s Ode on the Passions, wherein I particularly venerated Mr. Wopsle as Revenge throwing his blood-stained sword in thunder down, and taking the War-denouncing trumpet with a withering look."
veracious,habitually speaking the truth,"“These are the creatures,” he wrote, “that prove fairy tales to be more veracious than ancient history.”"
verbose,using or containing too many words,"His account is simple and straightforward; Ovid’s extremely verbose—for instance, he takes a hundred lines to kill the sea serpent."
viable,capable of life or normal growth and development,"Once I remove them from their power docks, they will only stay viable for thirty minutes."
viscous,having a relatively high resistance to flow,In a steamer it takes two or three days to cross the North Sea—so many hours of slobbering through the viscous water.
vituperative,marked by harshly abusive criticism,"The story he told was drunken and garbled, out of sequence and full of vituperative, self-righteous digressions; but I had no problem understanding it."
volatile,liable to lead to sudden change or violence,"And the nation’s economic depression was growing steadily worse, its labor situation more volatile."
wary,marked by keen caution and watchful prudence,"Barry hovered across the room, looking as wary as she felt."
welter,a confused multitude of things,I can’t start to describe for you my welter of emotions.
whimsical,determined by chance or impulse rather than by necessity,"Gabe tried to remember its name; he could picture Nathaniel's sister laughing when she had told it to him, but the whimsical name eluded him."
zealot,a fervent and even militant proponent of something,Religious zealots and religious dissenters were making noise while members of the Church of England and Unitarians like the Darwins also quietly questioned their faith.
